n
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Debra Taylor,""emailID"":debra@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Joyce Ramirez,""emailID"":joyce@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Jose Martin,""emailID"":jose@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Emily Harris,""emailID"":emily@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":John Allen,""emailID"":john@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Bruce Jenkins,""emailID"":bruce@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Paul Brooks,""emailID"":paul@sjsu.edu}"
"{""name"":Cloud Computing}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"":Kong Li,""emailID"":kong.li@sjsu.edu}"
"{""name"":User Interface Design}"
"{""name"":Topics in Wireless Networks}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":T.K. Bui,""emailID"":tk@gmail.com}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Sumeet Ghegade,""emailID"":sumeet.ghegade@sjsu.edu}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Student,""name"":Shota Tanaka,""emailID"":shota.t@gmail.com}"
"{""password"":$2a$12$YAmeySb7LdTbSnpULqqqDO1bmsmKxTm1.ogKZTMk02EYsjyCH7nMa,""role"":Faculty,""name"": Mike Wu,""emailID"":mikewu@sjsu.edu}"
"{""name"":NoSQL}"
"{""name"":Data Structures and Algorithms}"
"{""name"":Topics in Artificial Intelligence}"
